measurement_pass,kind,operation,category,algorithm,baseline_session,compare_session,baseline_mean_ms,compare_mean_ms,ratio,delta_ms
memory,KEM,decapsulate,1,hqc,i9,ryzen,21.624485,5.128105,0.237143,-16.496380
memory,KEM,decapsulate,1,kyber,i9,ryzen,0.814160,0.762487,0.936533,-0.051672
memory,KEM,decapsulate,1,rsa-oaep,i9,ryzen,3.661341,91.304102,24.937342,87.642762
memory,KEM,decapsulate,3,hqc,i9,ryzen,59.495699,13.547385,0.227704,-45.948314
memory,KEM,decapsulate,3,kyber,i9,ryzen,1.000550,0.735675,0.735271,-0.264875
memory,KEM,decapsulate,3,rsa-oaep,i9,ryzen,36.196991,3571.986523,98.681863,3535.789531
memory,KEM,decapsulate,5,hqc,i9,ryzen,105.809972,24.643498,0.232903,-81.166474
memory,KEM,decapsulate,5,kyber,i9,ryzen,1.093247,0.768215,0.702691,-0.325032
memory,KEM,encapsulate,1,hqc,i9,ryzen,14.182077,3.410875,0.240506,-10.771202
memory,KEM,encapsulate,1,kyber,i9,ryzen,1.032378,0.685210,0.663720,-0.347168
memory,KEM,encapsulate,1,rsa-oaep,i9,ryzen,1.221167,1.171275,0.959144,-0.049892
memory,KEM,encapsulate,3,hqc,i9,ryzen,38.738742,9.169375,0.236698,-29.569367
memory,KEM,encapsulate,3,kyber,i9,ryzen,1.018251,0.715538,0.702712,-0.302714
memory,KEM,encapsulate,3,rsa-oaep,i9,ryzen,1.335883,1.382282,1.034733,0.046399
memory,KEM,encapsulate,5,hqc,i9,ryzen,68.067647,16.069657,0.236084,-51.997989
memory,KEM,encapsulate,5,kyber,i9,ryzen,0.858306,0.710508,0.827802,-0.147798
memory,KEM,keygen,1,hqc,i9,ryzen,9.462404,2.033012,0.214852,-7.429391
memory,KEM,keygen,1,kyber,i9,ryzen,2.679975,0.673652,0.251365,-2.006322
memory,KEM,keygen,1,rsa-oaep,i9,ryzen,137.835681,150.559353,1.092310,12.723672
memory,KEM,keygen,3,hqc,i9,ryzen,21.819593,4.765625,0.218410,-17.053968
memory,KEM,keygen,3,kyber,i9,ryzen,2.709934,0.699070,0.257966,-2.010864
memory,KEM,keygen,3,rsa-oaep,i9,ryzen,5463.822312,5023.960535,0.919496,-439.861777
memory,KEM,keygen,5,hqc,i9,ryzen,36.174553,8.353043,0.230909,-27.821510
memory,KEM,keygen,5,kyber,i9,ryzen,2.523792,0.708807,0.280850,-1.814984
memory,SIG,keygen,1,falcon,i9,ryzen,8.375826,15.330745,1.830356,6.954919
memory,SIG,keygen,1,mayo,i9,ryzen,2.922801,1.783447,0.610184,-1.139353
memory,SIG,keygen,1,rsa-pss,i9,ryzen,160.823574,135.995417,0.845619,-24.828156
memory,SIG,keygen,1,sphincs+,i9,ryzen,41.311949,124.076305,3.003400,82.764356
memory,SIG,keygen,3,dilithium,i9,ryzen,2.579603,0.780115,0.302417,-1.799488
memory,SIG,keygen,3,mayo,i9,ryzen,2.823528,3.473442,1.230178,0.649915
memory,SIG,keygen,3,rsa-pss,i9,ryzen,7064.439833,3708.583720,0.524965,-3355.856113
memory,SIG,keygen,3,sphincs+,i9,ryzen,55.702628,178.886387,3.211453,123.183759
memory,SIG,keygen,5,dilithium,i9,ryzen,2.657048,0.897473,0.337770,-1.759576
memory,SIG,keygen,5,falcon,i9,ryzen,17.439764,39.275550,2.252069,21.835786
memory,SIG,keygen,5,mayo,i9,ryzen,3.545606,7.349970,2.072980,3.804364
memory,SIG,keygen,5,sphincs+,i9,ryzen,37.459907,118.940867,3.175151,81.480961
memory,SIG,sign,1,falcon,i9,ryzen,1.222275,4.184485,3.423522,2.962210
memory,SIG,sign,1,mayo,i9,ryzen,1.240087,2.351435,1.896186,1.111348
memory,SIG,sign,1,rsa-pss,i9,ryzen,3.696147,91.792223,24.834573,88.096076
memory,SIG,sign,1,sphincs+,i9,ryzen,291.932352,932.001338,3.192525,640.068985
memory,SIG,sign,3,dilithium,i9,ryzen,1.002846,1.220258,1.216794,0.217411
memory,SIG,sign,3,mayo,i9,ryzen,1.252351,5.102645,4.074452,3.850294
memory,SIG,sign,3,rsa-pss,i9,ryzen,45.182391,3569.324445,78.998131,3524.142054
memory,SIG,sign,3,sphincs+,i9,ryzen,484.651954,1602.894615,3.307311,1118.242661
memory,SIG,sign,5,dilithium,i9,ryzen,1.187782,1.329070,1.118951,0.141288
memory,SIG,sign,5,falcon,i9,ryzen,1.182194,8.369023,7.079232,7.186829
memory,SIG,sign,5,mayo,i9,ryzen,1.530054,10.809562,7.064825,9.279509
memory,SIG,sign,5,sphincs+,i9,ryzen,438.248568,1405.998085,3.208221,967.749517
memory,SIG,verify,1,falcon,i9,ryzen,1.273307,0.818375,0.642716,-0.454932
memory,SIG,verify,1,mayo,i9,ryzen,1.277563,1.656007,1.296223,0.378444
memory,SIG,verify,1,rsa-pss,i9,ryzen,1.208664,0.756752,0.626106,-0.451912
memory,SIG,verify,1,sphincs+,i9,ryzen,1.288179,1.676605,1.301531,0.388426
