measurement_pass,kind,operation,category,algorithm,baseline_session,compare_session,baseline_mem_kb,compare_mem_kb,ratio,delta_kb
memory,KEM,decapsulate,1,hqc,i9,ryzen,121.300000,127.900000,1.054411,6.600000
memory,KEM,decapsulate,1,kyber,i9,ryzen,98.800000,125.500000,1.270243,26.700000
memory,KEM,decapsulate,1,rsa-oaep,i9,ryzen,133.000000,106.900000,0.803759,-26.100000
memory,KEM,decapsulate,3,hqc,i9,ryzen,138.600000,127.169531,0.917529,-11.430469
memory,KEM,decapsulate,3,kyber,i9,ryzen,109.100000,129.100000,1.183318,20.000000
memory,KEM,decapsulate,3,rsa-oaep,i9,ryzen,133.400000,96.300000,0.721889,-37.100000
memory,KEM,decapsulate,5,hqc,i9,ryzen,157.100000,152.600000,0.971356,-4.500000
memory,KEM,decapsulate,5,kyber,i9,ryzen,101.600000,125.800000,1.238189,24.200000
memory,KEM,encapsulate,1,hqc,i9,ryzen,118.500000,134.600000,1.135865,16.100000
memory,KEM,encapsulate,1,kyber,i9,ryzen,106.000000,124.100000,1.170755,18.100000
memory,KEM,encapsulate,1,rsa-oaep,i9,ryzen,168.800000,176.500000,1.045616,7.700000
memory,KEM,encapsulate,3,hqc,i9,ryzen,162.700000,156.200000,0.960049,-6.500000
memory,KEM,encapsulate,3,kyber,i9,ryzen,104.500000,125.500000,1.200957,21.000000
memory,KEM,encapsulate,3,rsa-oaep,i9,ryzen,158.200000,193.400000,1.222503,35.200000
memory,KEM,encapsulate,5,hqc,i9,ryzen,196.800000,179.400000,0.911585,-17.400000
memory,KEM,encapsulate,5,kyber,i9,ryzen,102.000000,120.800000,1.184314,18.800000
memory,KEM,keygen,1,hqc,i9,ryzen,361.900000,118.900000,0.328544,-243.000000
memory,KEM,keygen,1,kyber,i9,ryzen,356.100000,122.400000,0.343724,-233.700000
memory,KEM,keygen,1,rsa-oaep,i9,ryzen,492.400000,899.700000,1.827173,407.300000
memory,KEM,keygen,3,hqc,i9,ryzen,398.500000,148.800000,0.373400,-249.700000
