algorithm,variant,operation,platform,metric,value,units,source
ML-DSA (Dilithium),Dilithium-2,keygen,"STM32F767ZI (Cortex-M7, 216 MHz)",time_avg,6.7,ms,citeturn5view0
ML-DSA (Dilithium),Dilithium-2,sign,"STM32F767ZI (Cortex-M7, 216 MHz)",time_avg,16.9,ms,citeturn5view0
ML-DSA (Dilithium),Dilithium-2,verify,"STM32F767ZI (Cortex-M7, 216 MHz)",time_avg,6.6,ms,citeturn5view0
ML-DSA (Dilithium),Dilithium-3,keygen,"STM32F767ZI (Cortex-M7, 216 MHz)",time_avg,11.9,ms,citeturn5view0
ML-DSA (Dilithium),Dilithium-3,sign,"STM32F767ZI (Cortex-M7, 216 MHz)",time_avg,20.7,ms,citeturn5view0
ML-DSA (Dilithium),Dilithium-3,verify,"STM32F767ZI (Cortex-M7, 216 MHz)",time_avg,11.4,ms,citeturn5view0
ML-DSA (Dilithium),Dilithium-5,keygen,"STM32F767ZI (Cortex-M7, 216 MHz)",time_avg,20.2,ms,citeturn5view0
ML-DSA (Dilithium),Dilithium-5,sign,"STM32F767ZI (Cortex-M7, 216 MHz)",time_avg,37.8,ms,citeturn5view0
ML-DSA (Dilithium),Dilithium-5,verify,"STM32F767ZI (Cortex-M7, 216 MHz)",time_avg,19.8,ms,citeturn5view0
ML-DSA (Dilithium),Dilithium-2,keygen,Cortex-M7,stack_peak,38444.0,bytes,citeturn6view1
ML-DSA (Dilithium),Dilithium-2,sign,Cortex-M7,stack_peak,52052.0,bytes,citeturn6view1
ML-DSA (Dilithium),Dilithium-2,verify,Cortex-M7,stack_peak,36332.0,bytes,citeturn6view1
ML-DSA (Dilithium),Dilithium-3,keygen,Cortex-M7,stack_peak,60972.0,bytes,citeturn6view1
ML-DSA (Dilithium),Dilithium-3,sign,Cortex-M7,stack_peak,79728.0,bytes,citeturn6view1
ML-DSA (Dilithium),Dilithium-3,verify,Cortex-M7,stack_peak,57836.0,bytes,citeturn6view1
ML-DSA (Dilithium),Dilithium-5,keygen,Cortex-M7,stack_peak,97836.0,bytes,citeturn6view1
ML-DSA (Dilithium),Dilithium-5,sign,Cortex-M7,stack_peak,122708.0,bytes,citeturn6view1
ML-DSA (Dilithium),Dilithium-5,verify,Cortex-M7,stack_peak,92908.0,bytes,citeturn6view1
ML-DSA (Dilithium),Dilithium-2,overall,Cortex-M7,ram_peak,13035.0,bytes,citeturn6view1
ML-DSA (Dilithium),Dilithium-3,overall,Cortex-M7,ram_peak,19947.0,bytes,citeturn6view1
ML-DSA (Dilithium),Dilithium-5,overall,Cortex-M7,ram_peak,30699.0,bytes,citeturn6view1
