algorithm,variant,operation,platform,metric,value,units,source_url
XMSS/XMSS^MT,XMSS-SHA2_10_256,keygen,Intel i7‑8700 (single core),ops_per_sec,1.587,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSS-SHA2_10_256,sign,Intel i7‑8700 (single core),ops_per_sec,363.693,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSS-SHA2_10_256,verify,Intel i7‑8700 (single core),ops_per_sec,3050.276,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSS-SHA2_10_256,sign,Intel i7‑8700 (single core),time_avg,2.7495717541992835,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSS-SHA2_10_256,verify,Intel i7‑8700 (single core),time_avg,0.327839185699917,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSS-SHA2_10_256,keygen,Intel i7‑8700 (single core),time_avg,630.119722747322,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_20/2_256,keygen,Intel i7‑8700 (single core),ops_per_sec,0.808,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_20/2_256,sign,Intel i7‑8700 (single core),ops_per_sec,298.138,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_20/2_256,verify,Intel i7‑8700 (single core),ops_per_sec,1307.295,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_20/2_256,sign,Intel i7‑8700 (single core),time_avg,3.3541514332289077,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_20/2_256,verify,Intel i7‑8700 (single core),time_avg,0.7649382886035668,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_20/2_256,keygen,Intel i7‑8700 (single core),time_avg,1237.6237623762374,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_20/4_256,keygen,Intel i7‑8700 (single core),ops_per_sec,9.88,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_20/4_256,sign,Intel i7‑8700 (single core),ops_per_sec,390.942,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_20/4_256,verify,Intel i7‑8700 (single core),ops_per_sec,729.433,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_20/4_256,sign,Intel i7‑8700 (single core),time_avg,2.5579241933586054,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_20/4_256,verify,Intel i7‑8700 (single core),time_avg,1.3709278302462324,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_20/4_256,keygen,Intel i7‑8700 (single core),time_avg,101.21457489878541,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_40/4_256,keygen,Intel i7‑8700 (single core),ops_per_sec,0.406,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_40/4_256,sign,Intel i7‑8700 (single core),ops_per_sec,294.738,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_40/4_256,verify,Intel i7‑8700 (single core),ops_per_sec,750.591,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_40/4_256,sign,Intel i7‑8700 (single core),time_avg,3.392843813827874,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_40/4_256,verify,Intel i7‑8700 (single core),time_avg,1.3322834939401085,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_40/4_256,keygen,Intel i7‑8700 (single core),time_avg,2463.054187192118,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_40/8_256,keygen,Intel i7‑8700 (single core),ops_per_sec,5.604,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_40/8_256,sign,Intel i7‑8700 (single core),ops_per_sec,469.764,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_40/8_256,verify,Intel i7‑8700 (single core),ops_per_sec,361.289,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_40/8_256,sign,Intel i7‑8700 (single core),time_avg,2.128728467911547,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_40/8_256,verify,Intel i7‑8700 (single core),time_avg,2.767867275228418,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_40/8_256,keygen,Intel i7‑8700 (single core),time_avg,178.4439685938615,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_60/6_256,keygen,Intel i7‑8700 (single core),ops_per_sec,0.266,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_60/6_256,sign,Intel i7‑8700 (single core),ops_per_sec,280.16,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_60/6_256,verify,Intel i7‑8700 (single core),ops_per_sec,521.61,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_60/6_256,sign,Intel i7‑8700 (single core),time_avg,3.56938892061679,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_60/6_256,verify,Intel i7‑8700 (single core),time_avg,1.9171411591035448,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_60/6_256,keygen,Intel i7‑8700 (single core),time_avg,3759.398496240601,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_60/12_256,keygen,Intel i7‑8700 (single core),ops_per_sec,4.143,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_60/12_256,sign,Intel i7‑8700 (single core),ops_per_sec,514.658,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_60/12_256,verify,Intel i7‑8700 (single core),ops_per_sec,247.682,ops/s,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_60/12_256,sign,Intel i7‑8700 (single core),time_avg,1.943037900897295,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_60/12_256,verify,Intel i7‑8700 (single core),time_avg,4.037435098230796,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
XMSS/XMSS^MT,XMSSMT-SHA2_60/12_256,keygen,Intel i7‑8700 (single core),time_avg,241.3709872073377,ms,https://www.wolfssl.com/wolfcrypt-implementations-of-lms-hss-and-xmss-xmssmt-signatures-build-options-and-benchmarks-intel-x86/
